0.850980392,0.4,1
0.768627451,0.349019608,0.976470588
0.68627451,0.301960784,0.949019608
0.607843137,0.250980392,0.925490196
0.525490196,0.2,0.898039216
0.443137255,0.149019608,0.874509804
0.360784314,0.101960784,0.850980392
0.282352941,0.050980392,0.823529412
0.2,0,0.8
0.2,0.043137255,0.82745098
0.2,0.08627451,0.858823529
0.2,0.129411765,0.88627451
0.2,0.17254902,0.91372549
0.2,0.215686275,0.941176471
0.2,0.258823529,0.97254902
0.2,0.301960784,1
0.31372549,0.4,0.929411765
0.42745098,0.501960784,0.858823529
0.541176471,0.6,0.784313725
0.658823529,0.698039216,0.71372549
0.77254902,0.8,0.643137255
0.88627451,0.898039216,0.57254902
1,1,0.501960784
1,0.952941176,0.501960784
1,0.905882353,0.501960784
1,0.858823529,0.501960784
1,0.807843137,0.501960784
1,0.760784314,0.501960784
1,0.71372549,0.501960784
1,0.666666667,0.501960784
1,0.57254902,0.501960784
1,0.474509804,0.501960784
1,0.380392157,0.501960784
1,0.28627451,0.501960784
1,0.188235294,0.501960784
1,0.094117647,0.501960784
1,0,0.501960784
0.937254902,0.023529412,0.505882353
0.870588235,0.043137255,0.51372549
0.807843137,0.066666667,0.521568627
0.745098039,0.090196078,0.529411765
0.682352941,0.11372549,0.537254902
0.615686275,0.133333333,0.545098039
0.552941176,0.156862745,0.552941176
0.490196078,0.180392157,0.560784314
0.466666667,0.298039216,0.552941176
0.443137255,0.415686275,0.541176471
0.423529412,0.529411765,0.533333333
0.4,0.647058824,0.525490196
0.376470588,0.764705882,0.517647059
0.356862745,0.882352941,0.509803922
0.333333333,0.882352941,0.501960784
0.333333333,0.88627451,0.415686275
0.333333333,0.776470588,0.333333333
0.329411765,0.666666667,0.250980392
0.329411765,0.552941176,0.164705882
0.329411765,0.439215686,0.082352941
0.329411765,0.329411765,0
0.388235294,0.325490196,0
0.450980392,0.321568627,0
0.509803922,0.317647059,0
0.568627451,0.317647059,0
0.62745098,0.31372549,0
0.690196078,0.309803922,0
