lon,lat,x,y,x_boundary,gap_m
-175.212,-25.340,-16076224.694,-2707175.257,-16515555.971,439331.277
-175.203,-25.186,-16080992.818,-2690699.916,-16521309.852,440317.034
-175.194,-25.034,-16085608.505,-2674466.772,-16526907.711,441299.205
-175.228,-24.776,-16097858.121,-2646895.916,-16536254.367,438396.246
-175.197,-24.426,-16107073.796,-2609442.711,-16548638.641,441564.845
-175.138,-24.156,-16110708.727,-2580614.253,-16557940.697,447231.971
-175.053,-23.914,-16110837.020,-2554840.629,-16566097.739,455260.719
-174.985,-23.750,-16109877.311,-2537259.880,-16571579.941,461702.630
-174.926,-23.652,-16107584.949,-2526796.798,-16574812.375,467227.426
-174.829,-23.492,-16103765.241,-2509680.795,-16580053.157,476287.916
-174.663,-23.221,-16096940.973,-2480703.454,-16588798.859,491857.886
-174.489,-22.906,-16090560.530,-2447083.338,-16598759.207,508198.678
-174.388,-22.729,-16086539.159,-2428215.025,-16604267.791,517728.633
-174.139,-22.290,-16076650.677,-2381274.078,-16617742.849,541092.171
-173.903,-21.772,-16069818.076,-2325935.032,-16633263.280,563445.204
-173.818,-21.526,-16068994.414,-2299706.197,-16640503.254,571508.840
-173.658,-21.143,-16065012.809,-2258786.411,-16651676.022,586663.214
-173.492,-20.770,-16059984.281,-2218881.995,-16662455.471,602471.189
-173.218,-20.204,-16050219.283,-2158438.935,-16678633.116,628413.832
-173.053,-19.779,-16046556.893,-2113011.339,-16690726.198,644169.305
-172.970,-19.461,-16047525.756,-2079038.389,-16699743.517,652217.761
-172.849,-18.989,-16049123.036,-2028637.443,-16713051.627,663928.591
-172.693,-18.620,-16044546.279,-1989225.679,-16723377.684,678831.404
-172.698,-18.483,-16048621.525,-1974598.903,-16727187.776,678566.251
-172.646,-18.324,-16048069.020,-1957544.197,-16731613.178,683544.158
-172.540,-17.935,-16048428.222,-1916012.274,-16742303.698,693875.475
-172.445,-17.677,-16046321.389,-1888428.334,-16749327.902,703006.513
-172.419,-17.526,-16047768.336,-1872306.374,-16753402.152,705633.816
-172.373,-17.265,-16050234.624,-1844451.205,-16760382.851,710148.226
-172.335,-16.963,-16054315.961,-1812182.722,-16768369.008,714053.047
-172.254,-16.656,-16054386.025,-1779421.619,-16776356.530,721970.505
-172.230,-16.442,-16057473.506,-1756527.703,-16781860.479,724386.973
-172.238,-16.235,-16063213.379,-1734466.299,-16787099.743,723886.363
-172.231,-16.014,-16067818.583,-1710769.920,-16792652.913,724834.330
-172.242,-15.840,-16073041.989,-1692173.250,-16796954.439,723912.450
-172.270,-15.654,-16079968.869,-1672308.623,-16801491.890,721523.021
-172.337,-15.503,-16089716.074,-1656247.858,-16805115.537,715399.464
-172.428,-15.373,-16101146.805,-1642374.468,-16808212.268,707065.463
-172.491,-15.293,-16108822.345,-1633819.661,-16810106.008,701283.664
-172.671,-15.104,-16129938.500,-1613560.625,-16814541.288,684602.789
-172.774,-15.033,-16141100.322,-1606009.087,-16816176.380,675076.058
-172.939,-14.867,-16160168.504,-1588263.680,-16819978.899,659810.394
-173.101,-14.732,-16178231.812,-1573829.942,-16823030.887,644799.074
-173.273,-14.697,-16195074.177,-1570080.922,-16823817.628,628743.451
-173.358,-14.625,-16204547.935,-1562449.339,-16825411.542,620863.606
-173.423,-14.582,-16211510.581,-1557846.399,-16826367.991,614857.409
-173.484,-14.575,-16217398.503,-1557079.499,-16826526.987,609128.484
-173.597,-14.562,-16228205.316,-1555671.920,-16826818.545,598613.229
-173.661,-14.554,-16234416.345,-1554862.940,-16826985.957,592569.612
-173.836,-14.534,-16251191.289,-1552678.028,-16827437.539,576246.250
-174.083,-14.379,-16277559.913,-1536151.147,-16830826.585,553266.672
-174.258,-14.367,-16294139.643,-1534894.178,-16831082.414,536942.771
-174.639,-14.342,-16330309.421,-1532152.077,-16831639.566,501330.146
-174.754,-14.334,-16341254.209,-1531322.348,-16831807.899,490553.690
-175.195,-14.392,-16381270.535,-1537493.669,-16830553.043,449282.509
-175.413,-14.420,-16401056.215,-1540518.308,-16829935.629,428879.415
-175.636,-14.449,-16421293.736,-1543581.772,-16829308.681,408014.945
-176.217,-14.175,-16481374.468,-1514346.767,-16835225.977,353851.509
-176.583,-14.025,-16518789.644,-1498321.981,-16838407.566,319617.921
-177.033,-13.808,-16565330.280,-1475175.059,-16842926.664,277596.384
-177.450,-13.708,-16606344.898,-1464491.860,-16844982.145,238637.247
-177.817,-13.625,-16642336.555,-1455589.193,-16846680.550,204343.996
-178.183,-13.542,-16678322.148,-1446686.524,-16848365.840,170043.692
-178.550,-13.458,-16714301.655,-1437783.854,-16850038.073,135736.418
-179.000,-13.375,-16758076.766,-1428881.183,-16851697.306,93620.541
-179.367,-13.308,-16793717.726,-1421759.045,-16853015.373,59297.647
-179.533,-13.275,-16809976.607,-1418197.975,-16853671.310,43694.703
-179.600,-13.275,-16816218.707,-1418197.975,-16853671.310,37452.603
-179.999,-13.375,-16851603.686,-1428881.183,-16851697.306,93.621
-179.997,-12.200,-16873511.904,-1303322.104,-16873747.124,235.221
-179.997,-11.185,-16890598.463,-1194952.523,-16890833.922,235.459
-179.997,-10.447,-16901965.096,-1116079.976,-16902200.713,235.617
-179.997,-9.079,-16920807.955,-969877.345,-16921043.835,235.880
-179.996,-7.860,-16935238.995,-839652.722,-16935611.178,372.183
-179.996,-6.670,-16947685.141,-712572.278,-16948057.598,372.457
-179.998,-6.084,-16953393.273,-649930.009,-16953620.325,227.052
-179.998,-5.048,-16962398.633,-539324.889,-16962625.805,227.172
-179.998,-3.996,-16970536.844,-426950.057,-16970764.125,227.281
-179.996,-3.153,-16975969.357,-336878.598,-16976375.078,405.721
-179.996,-2.168,-16981223.914,-231611.987,-16981629.761,405.847
-179.996,-1.366,-16984264.376,-145953.856,-16984670.296,405.920
-179.998,0.142,-16986578.158,15211.419,-16986779.675,201.517
-179.998,1.003,-16985432.813,107172.595,-16985634.316,201.503
-179.998,2.042,-16981983.238,218182.867,-16982184.700,201.462
-179.998,3.063,-16976718.173,327222.533,-16976919.573,201.400
-179.998,4.034,-16970289.163,431007.263,-16970490.486,201.323
-179.998,5.085,-16962167.937,543212.297,-16962325.665,157.728
-179.998,6.126,-16953076.954,654404.852,-16953234.597,157.644
-179.998,7.081,-16943783.391,756473.917,-16943940.948,157.557
-179.998,8.058,-16933216.713,860823.877,-16933374.172,157.459
-179.998,9.024,-16921582.919,964033.443,-16921740.270,157.351
-179.998,10.068,-16907473.544,1075575.175,-16907703.179,229.635
-179.998,11.068,-16892462.566,1182466.448,-16892691.997,229.431
-179.998,12.065,-16875896.720,1288878.387,-16876125.926,229.206
-179.998,13.011,-16858560.743,1390017.586,-16858789.713,228.971
-179.996,14.047,-16837576.764,1500678.203,-16837942.487,365.724
-179.996,15.049,-16815453.240,1607665.965,-16815818.483,365.243
-179.996,16.050,-16791383.755,1714652.540,-16791748.475,364.720
-179.998,17.047,-16765967.825,1821144.136,-16766162.512,194.687
-179.998,18.053,-16738860.567,1928687.216,-16739054.939,194.372
-179.998,18.987,-16712912.166,2028429.798,-16713106.237,194.071
-179.996,20.013,-16683739.498,2138013.191,-16684075.168,335.670
-179.996,21.057,-16653853.748,2249517.929,-16654188.816,335.068
-179.999,22.194,-16620553.682,2371055.374,-16620636.458,82.777
-179.996,23.091,-16592596.414,2466837.192,-16592930.249,333.836
-179.996,24.023,-16562126.750,2566391.779,-16562459.972,333.223
-179.995,25.044,-16526088.811,2675524.466,-16526545.134,456.323
-179.995,26.016,-16489033.373,2779350.761,-16489488.673,455.300
-179.995,27.061,-16445972.227,2890950.075,-16446426.338,454.111
-179.995,28.095,-16400043.339,3001443.597,-16400496.181,452.843
-179.995,29.088,-16352878.197,3107503.972,-16353329.737,451.540
-179.998,30.075,-16303211.966,3213015.088,-16303419.931,207.965
-179.998,30.976,-16255108.638,3309272.866,-16255315.989,207.351
-179.999,32.006,-16197319.174,3419325.334,-16197446.714,127.539
-179.999,33.076,-16134133.223,3533658.933,-16134260.265,127.042
-179.999,34.053,-16073907.025,3637995.087,-16074033.593,126.568
-179.999,35.005,-16013031.084,3739626.633,-16013157.172,126.088
-179.999,36.081,-15941690.467,3854473.346,-15941815.994,125.527
-179.999,37.039,-15875750.853,3956621.990,-15875875.860,125.007
-179.999,37.909,-15813660.307,4049324.774,-15813784.826,124.518
-179.999,39.050,-15728862.258,4170613.626,-15728986.108,123.851
-179.999,40.093,-15647500.513,4281450.251,-15647623.723,123.210
-179.998,41.039,-15570488.525,4381742.046,-15570664.003,175.477
-179.998,42.093,-15481566.518,4493265.120,-15481740.993,174.475
-179.998,43.017,-15401236.285,4590897.866,-15401409.855,173.570
-179.998,44.024,-15311672.544,4697093.200,-15311845.104,172.560
-179.998,45.050,-15218822.072,4804976.703,-15218993.586,171.514
-179.998,46.030,-15128899.534,4907738.043,-15129070.035,170.501
-179.997,47.015,-15036784.615,5010803.300,-15037010.817,226.202
-179.997,48.017,-14940985.948,5115258.768,-14941210.709,224.761
-179.997,49.077,-14836636.405,5225336.402,-14836859.597,223.191
-179.992,50.331,-14707706.551,5355127.222,-14708363.186,656.635
-179.605,50.331,-14676121.878,5355127.222,-14708363.186,32241.308
-179.149,50.341,-14637747.416,5356163.239,-14707311.090,69563.673
-178.807,50.326,-14611423.999,5354609.198,-14708889.092,97465.093
-178.280,50.386,-14562095.694,5360824.783,-14702571.979,140476.285
-177.939,50.291,-14544095.058,5350982.728,-14712567.780,168472.722
-177.301,50.386,-14482140.028,5360824.783,-14702571.979,220431.951
-176.714,50.497,-14422762.142,5372215.999,-14690955.425,268193.283
-176.257,50.585,-14376379.438,5381278.797,-14681677.247,305297.809
-175.608,50.624,-14319358.865,5385362.148,-14677486.451,358127.586
-175.106,50.722,-14268293.789,5395447.842,-14667107.814,398814.025
-174.597,50.911,-14207264.162,5414934.995,-14646944.266,439680.103
-174.238,50.886,-14180714.961,5412288.297,-14649691.319,468976.358
-173.782,50.925,-14139542.476,5416336.172,-14645488.883,505946.407
-173.042,50.999,-14071725.734,5423991.564,-14637524.226,565798.492
-172.263,51.096,-13998430.740,5433898.795,-14627183.971,628753.230
-171.556,51.185,-13931803.233,5443132.863,-14617513.184,685709.951
-169.638,51.369,-13757347.130,5462009.438,-14597645.230,840298.100
-168.460,51.655,-13632705.939,5491311.520,-14566545.066,933839.127
-167.628,51.882,-13542066.072,5514608.612,-14541596.911,999530.839
-166.760,52.095,-13450141.221,5536471.807,-14518008.767,1067867.546
-166.049,52.240,-13377870.122,5551328.451,-14501884.314,1124014.191
-164.280,52.742,-13184072.395,5602591.569,-14445664.239,1261591.844
-162.573,53.131,-13007196.222,5642327.241,-14401480.483,1394284.261
-161.394,53.392,-12886113.290,5668869.213,-14371681.031,1485567.741
-160.728,53.480,-12823877.484,5677863.177,-14361532.205,1537654.721
-160.180,53.572,-12770814.926,5687149.560,-14351026.615,1580211.690
-159.451,53.712,-12698312.453,5701448.424,-14334797.673,1636485.219
-158.710,53.807,-12629626.288,5711060.973,-14323851.949,1694225.660
-158.330,53.949,-12584923.462,5725466.222,-14307395.686,1722472.224
-158.286,53.965,-12579730.765,5727139.368,-14305480.214,1725749.449
-157.905,53.996,-12546350.997,5730272.093,-14301891.487,1755540.491
-157.259,54.091,-12485347.890,5739870.619,-14290877.324,1805529.434
-156.702,54.242,-12425834.178,5755171.905,-14273262.196,1847428.018
-156.360,54.328,-12389968.503,5763846.231,-14263245.252,1873276.749
-155.666,54.469,-12320583.510,5778217.288,-14246601.159,1926017.649
-155.186,54.657,-12263593.658,5797168.999,-14224560.196,1960966.538
-154.798,54.880,-12210347.832,5819672.576,-14198255.102,1987907.269
-154.104,55.136,-12129535.880,5845551.329,-14167830.904,2038295.024
-153.630,55.279,-12077651.757,5859990.952,-14150773.439,2073121.682
-153.175,55.453,-12024223.858,5877485.740,-14130029.598,2105805.740
-152.164,55.910,-11898541.214,5923429.612,-14075150.466,2176609.252
-151.071,56.273,-11776221.508,5959843.724,-14031240.809,2255019.301
-150.008,56.631,-11657069.827,5995662.668,-13987692.722,2330622.895
-149.394,56.926,-11579351.923,6025131.522,-13951600.618,2372248.695
-148.968,57.044,-11534341.651,6036892.409,-13937129.882,2402788.231
-148.257,57.347,-11448569.865,6067090.984,-13899799.508,2451229.643
-147.391,57.756,-11340221.566,6107738.157,-13849158.718,2508937.151
-146.849,58.040,-11269653.755,6135969.802,-13813720.126,2544066.371
-146.681,58.459,-11214002.976,6177404.155,-13761314.403,2547311.427
-146.260,58.726,-11154498.583,6203798.065,-13727687.572,2573188.989
-145.877,58.988,-11098480.688,6229641.405,-13694578.315,2596097.627
-145.606,59.071,-11069370.879,6237770.520,-13684126.090,2614755.211
-145.540,59.137,-11057601.435,6244272.953,-13675752.471,2618151.036
-145.326,59.156,-11039460.556,6246109.719,-13673385.060,2633924.503
