   4.9000000e-03   1.3050000e+00   1.6000000e+01   5.6350000e+01   1.6000000e+02  -8.0422762e-02   3.0162274e-01   5.3673259e-01   7.9315301e-01   1.2715385e+00
   2.1830000e+02   2.5550000e+02   2.8000000e+02   3.3150000e+02   3.8750000e+02  -2.6001167e-01   2.6288370e-01   5.0866701e-01   6.9140296e-01   1.0102204e+00
   4.0700000e+02   4.5000000e+02   4.8000000e+02   5.4100000e+02   5.9250000e+02  -2.0256137e-01   2.5212304e-01   4.8638208e-01   6.7840699e-01   1.0597740e+00
   6.0000000e+02   6.2000000e+02   7.2020000e+02   7.6100000e+02   7.8700000e+02  -2.9486676e-01   1.7953387e-01   4.5755835e-01   6.7061785e-01   9.8062942e-01
   8.0320000e+02   8.2700000e+02   8.5715000e+02   9.3000000e+02   9.7500000e+02  -2.9004651e-01   2.0299210e-01   4.3322776e-01   6.1044639e-01   8.9983211e-01
   1.0050000e+03   1.0667500e+03   1.1000000e+03   1.1100000e+03   1.1700000e+03   3.7425862e-02   3.9072233e-01   6.0066248e-01   8.8354096e-01   1.6189035e+00
   1.2137500e+03   1.3000000e+03   1.3250000e+03   1.3800000e+03   1.3920000e+03  -5.8599496e-02   3.5275922e-01   6.9722771e-01   1.1258592e+00   1.5268127e+00
   1.4180000e+03   1.4375000e+03   1.4690000e+03   1.5000000e+03   1.5556000e+03   3.5169258e-02   3.4118238e-01   5.3888947e-01   7.2666088e-01   9.9962092e-01
   1.6210000e+03   1.6940000e+03   1.7500000e+03   1.7780000e+03   1.7960000e+03  -3.6487363e-02   4.4112416e-01   6.3351560e-01   8.2858626e-01   1.1859871e+00
   1.8350000e+03   1.8715000e+03   1.8875000e+03   1.8950000e+03   1.9500000e+03  -3.4059236e-02   3.6316134e-01   6.2353059e-01   8.1618445e-01   1.0463024e+00
   2.0020000e+03   2.0570000e+03   2.1000000e+03   2.1480000e+03   2.1800000e+03  -2.0036442e-01   3.0744428e-01   5.5760082e-01   7.6371529e-01   1.1993227e+00
   2.2050000e+03   2.2200000e+03   2.3093500e+03   2.3685000e+03   2.3965000e+03   2.1099252e-02   3.7149308e-01   5.6974748e-01   7.3920632e-01   9.8851507e-01
   2.4250000e+03   2.4605000e+03   2.5120000e+03   2.5330000e+03   2.5654250e+03  -1.7691275e-01   2.7903431e-01   5.3349521e-01   7.7323201e-01   1.1612906e+00
   2.6175000e+03   2.6800000e+03   2.7000000e+03   2.7330000e+03   2.7750000e+03  -1.7636570e-01   2.6040989e-01   5.4284058e-01   8.1570870e-01   1.1901440e+00
   2.8210000e+03   2.8845000e+03   2.9250000e+03   2.9600000e+03   2.9875000e+03  -1.8368097e-01   1.7296800e-01   4.0619203e-01   6.5769303e-01   1.0816408e+00
   3.0000000e+03   3.0050000e+03   3.0190000e+03   3.1200000e+03   3.1750000e+03  -2.3181904e-01   1.1174047e-01   3.4533092e-01   5.7833144e-01   9.2303905e-01
   3.2130000e+03   3.2490000e+03   3.3065000e+03   3.3650000e+03   3.3655000e+03  -4.8401721e-01  -6.2157003e-02   2.7893470e-01   5.4279325e-01   8.9415200e-01
   3.4000000e+03   3.4000000e+03   3.4495000e+03   3.4755000e+03   3.5850000e+03  -4.4748739e-01   1.9771881e-01   5.8221043e-01   7.7824382e-01   1.0702257e+00
   3.6201000e+03   3.7000000e+03   3.7500000e+03   3.7500000e+03   3.7702500e+03  -5.9337952e-02   2.8451728e-01   5.8389133e-01   9.3169749e-01   1.2160536e+00
   3.8000000e+03   3.8105000e+03   3.9140000e+03   3.9850000e+03   3.9850000e+03   1.4654806e-01   3.4914373e-01   7.6116716e-01   1.0076842e+00   1.2064361e+00
