sample_name,reference,northing,easting,location,suite,rock_name,rock_group,rock_origin,core,sio2,al2o3,fe2o3_tot,feo_tot,mno,mgo,cao,na2o,k2o,tio2,p2o5,so3,loi,sro,bao,nio,fe2o3,feo,cr2o3,ba_ppm,ce_ppm,co_ppm,cr_ppm,cu_ppm,ga_ppm,la_ppm,nb_ppm,nd_ppm,ni_ppm,pb_ppm,rb_ppm,sc_ppm,sr_ppm,th_ppm,u_ppm,v_ppm,y_ppm,zn_ppm,zr_ppm,Quartz_norm,Albite_norm,Anorthite_norm,Orthoclase_norm,Nepheline_norm,Leucite_norm,Kalsilite_norm,Corundum_norm,Diopside_norm,Enstatite_norm,Wollastonite_norm,Olivine_norm,Larnite_norm,Acmite_norm,K2SiO3_norm,Na2SiO3_norm,Rutile_norm,Ilmenite_norm,Magnetite_norm,Hematite_norm,Apatite_norm,Zircon_norm,Perovskite_norm,Chromite_norm,Sphene_norm,Pyrite_norm,Halite_norm,Fluorite_norm,Anhydrite_norm,Na2SO4_norm,Calcite_norm,Na2CO3_norm,Total_norm,quartz,orthoclase,plagioclase,perthite,biotite,hornblende,clinopyroxene,orthopyroxene,olivine,spinel,epidote,zircon,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,rock_type
FR-kw40,Robinson(2014),20 18'33.89' N ,42 41'49.36' E,saudi_arabia,kawr_suite,alkali_granite,igneous,plutonic,0,76.15,12.74,0.89,NaN,0.03,0.13,0.59,3.86,4.57,0.09,0.02,0.01,0.12,,,,NaN,NaN,,87,22,110,1,12,18,7,8.8,12,0,14,103,1.2,20,9,4,3,18,18,242,34.46085615,33.14403405,2.705197504,28.13506099,0,0,0,0.282609695,0,1.019742345,0,0,0,0,0,0,0,0.095844802,0.079314496,0,0.038569003,0.02840407,0,0.000112631,0,0,0,0,0,0.017632185,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,14.1704259848056,3.55559548854968,0.869022619154856,-1.57468480861962,-0.184620287137398,-0.0379669133558895,3.06012858770646,rhyolite
FR-ih76,Robinson(2014),18 23'35.75'' N ,42 53'17.71'' E,saudi_arabia,ibn_hashbal,granite,igneous,plutonic,0,71.62,14.82,1.54,NaN,0.03,0.48,1.58,3.85,4.67,0.27,0.07,0.01,0.45,,,,NaN,NaN,,746,61,97,2,10,20,31,7.4,23,0,19,176,3.5,228,18,6.6,19,12,36,195,26.85722813,33.38557017,7.265511186,29.30460732,0,0,0,0.443938184,0,2.160302176,0,0,0,0,0,0,0,0.290276226,0.13854949,0,0.136278739,0.023105824,0,0.000227411,0,0,0,0,0,0.017800319,0,0,100.01,21.073,8.949,61.069,0,8.909,0,0,0,0,0,0,0,10.1008634182728,0.966971581105017,-0.489958412305718,-1.11108422849704,-0.208179543893989,-0.221542753082479,3.33667282216311,rhyolite
MO-40301,Ogasawara(1996),,,halls_creek_mobile_zone,sally_downs,tonalite,igneous,plutonic,0,58.06,17.99,6.6,NaN,0.06,3.06,6.73,3.84,1.3,0.76,0.25,NaN,0.8,,,,NaN,NaN,,634,55,NaN,42,35,20.8,NaN,135,30,26,NaN,32.7,18.4,954,NaN,NaN,111,5.7,63,11.6,10.32345862,35.65917075,29.04708422,8.910192439,0,0,0,0,2.948129719,11.12999265,0,0,0,0,0,0,0,0.873029923,0.63444792,0,0.520041387,0.001468631,0,0.005102681,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-3.89410418607447,-4.5170377295205,-1.01371321835877,0.903931124088477,-0.0847155690982168,0.223292653485105,0.635118496554229,andesite
MO-42402,Ogasawara(1996),,,halls_creek_mobile_zone,sally_downs,tonalite,igneous,plutonic,0,58.23,18.2,6.42,NaN,0.08,3.09,6.73,3.84,1.38,0.78,0.19,NaN,0.78,,,,NaN,NaN,,451,41,NaN,35,40,0,NaN,143,20,22,NaN,38.2,18,604,NaN,NaN,102,6.1,68,12.8,10.10440915,35.50899348,29.31252098,9.320692408,0,0,0,0,2.87009914,11.01084299,0,0,0,0,0,0,0,0.892477958,0.614715876,0,0.393675927,0.00161418,0,0.004235498,0,0,0,0,0,0,0,0,100.01,16.1,0,51.21,0,12.71,12.8,0,0,0,0,5.4,0.29,-3.69760312500732,-4.50913723830172,-1.24877638279521,0.988396150164784,-0.0506932518586183,0.151751643314222,0.711014801644912,andesite
FR-kw38,Robinson(2014),21 06'59.40' N ,42 53'16.73' E,saudi_arabia,kawr_suite,alkali_granite,igneous,plutonic,0,74.65,12.18,2.33,NaN,0.04,0.21,0.52,3.84,5.07,0.24,0.02,0.01,0.23,,,,NaN,NaN,,134,150,106,2,9,25,67,36,74,0,23,142,2.5,26,15,6.4,7,98,96,462,30.88547858,33.22334569,1.00220536,31.461883,0,0,0,0,0.953024713,1.908729383,0,0,0,0,0,0,0,0.257491277,0.209191342,0,0.038856496,0.054630151,0,0.000226942,0,0,0,0,0,0.017763616,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,12.4402280271907,3.12857853156496,2.05627493705008,-1.57513014265468,-0.180956624175699,0.0607844309690593,3.62690723127956,rhyolite
MO-51703,Ogasawara(1996),,,halls_creek_mobile_zone,sally_downs,tonalite,igneous,plutonic,0,60.7,17.64,5.87,NaN,0.07,2.59,5.88,3.82,1.5,0.73,0.2,NaN,0.6,,,,NaN,NaN,,576,63,NaN,30,36,NaN,NaN,4.8,21,20,NaN,40.2,13.8,610,NaN,NaN,92,10.8,66,151,14.76232321,34.98322786,27.16194959,10.07041201,0,0,0,0,1.128511963,10.11937818,0,0,0,0,0,0,0,0.827084159,0.556546492,0,0.410335603,0.018855712,0,0.003594857,0,0,0,0,0,0,0,0,100.01,0,0,0,0,0,0,0,0,0,0,0,0,-1.25271442116173,-3.58969220290698,-0.870974143889579,0.868223072840746,-0.0365636873735092,0.0903270517566577,0.728083117906808,andesite
MO-41006a,Ogasawara(1996),,,halls_creek_mobile_zone,sally_downs,tonalite,igneous,plutonic,0,60.39,17.65,5.92,NaN,0.07,2.61,6.09,3.8,1.52,0.7,0.2,NaN,0.62,,,,NaN,NaN,,537,59,NaN,31,38,0,NaN,142,22,20,NaN,46.7,14.6,613,NaN,NaN,102,6.1,71,12.2,14.18223568,34.85361212,27.27154001,10.20050779,0,0,0,0,1.812245757,9.942510316,0,0,0,0,0,0,0,0.794400165,0.562211206,0,0.411011188,0.00152595,0,0.003720802,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1.5387394235422,-3.70193013473261,-0.888299689775656,0.819862926720403,-0.0892154889764319,0.10636853592541,0.754988971793154,andesite
DH-A,henstridge_1970,,,desert_camp,<undefined>,granite,igneous,plutonic,0,76.83,11.84,1.93,<undefined>,0.05,0.08,0.23,3.8,4.67,0.12,0,NaN,0.22,,,,NaN,NaN,,132,NaN,NaN,NaN,NaN,2.6,77.3,NaN,NaN,NaN,NaN,142,NaN,1,15.8,NaN,NaN,NaN,NaN,NaN,35.23299054,32.6809395,1.101192358,28.76146905,0,0,0,0.070619907,0,1.854808597,0,0,0,0,0,0,0,0.127760142,0.171952286,0,0,0,0,0,0,0,0,0,0,0,0,0,100,26.778,0,73.222,0,0,0,0,0,0,0,0,0,14.4361947065827,4.09713186220037,2.26574914800341,-1.37817561541639,-0.18255129325504,0.0471549538539601,3.16208186191825,rhyolite
FR-ih74,Robinson(2014),18 23'35.93'' N ,42 53'18.21'' E,saudi_arabia,ibn_hashbal,granite,igneous,plutonic,0,71.86,14.66,1.52,NaN,0.03,0.46,1.58,3.77,4.73,0.26,0.07,0.01,0.49,,,,NaN,NaN,,750,64,90,2,17,19,32,5.9,21,0,21,161,3.3,233,18,5.3,20,10,33,190,27.35431671,32.66703628,7.261854712,29.657449,0,0,0,0.380013129,0,2.109683098,0,0,0,0,0,0,0,0.279324781,0.136652069,0,0.136181001,0.022497221,0,0.000227248,0,0,0,0,0,0.017787553,0,0,100.01,26.31,55.902,14.296,0,3.492,0,0,0,0,0,0,0,10.3076861575383,1.13289103432939,-0.372216784048601,-1.16727437596973,-0.256144906757213,-0.27398103684556,3.37819650490187,rhyolite
MD-018,dove_1997,-32.20746,133.736367,wittlebee_point,st_peter_suite,granite,igneous,plutonic,0,76.17,13.11,0.616,<undefined>,0.05,0.18,0.72,3.77,4.79,0.07,0.02,NaN,0.32,,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.76845847,32.25013688,3.302500852,29.28821613,0,0,0,0.307409615,0,0.91596557,0,0,0,0,0,0,0,0.074133847,0.054592843,0,0.038355783,0,0,0,0,0,0,0,0,0,0,0,100,5,NaN,10,5,15,60,0,0,0,0,0,0,14.2668063659292,3.46524227040357,0.45232057535152,-1.48653109338034,-0.240140701306606,-0.196465795029851,3.2715689703284,rhyolite
MO-32505a,Ogasawara(1996),,,halls_creek_mobile_zone,sally_downs,tonalite,igneous,plutonic,0,60.86,17.65,5.68,NaN,0.1,2.41,5.67,3.76,1.87,0.64,0.18,NaN,0.62,,,,NaN,NaN,,539,39,NaN,29,39,22.3,NaN,144,19,20,NaN,65.5,14.9,517,NaN,NaN,91,7.4,67,21.4,14.51170535,34.37765256,26.30872785,12.45573153,0,0,0,0,1.021694343,9.719526734,0,0,0,0,0,0,0,0.724046995,0.537739108,0,0.368758168,0.002668331,0,0.003469911,0,0,0,0,0,0,0,0,99.99,0,0,0,0,0,0,0,0,0,0,0,0,-0.974253049403109,-3.63478782922162,-0.94604779930978,0.733636477369477,-0.168678255632495,0.041346963014084,1.07394831602222,andesite
